#{"t_start": 1634989009.620602, "env_id": null}
r,l,t
0.21,6,3.394993
0.28,7,7.295218
0.1,4,9.663341
0.15,5,12.54435
0.28,7,16.511152
0.1,4,18.779966
0.1,4,21.161825
0.28,7,25.177679
0.1,4,27.47779
0.15,5,30.310517
0.1,4,32.643794
0.21,6,36.275978
0.36,8,40.661083
0.21,6,44.056337
0.15,5,46.9086
0.55,10,52.408882
0.28,7,56.391973
0.28,7,60.274932
0.1,4,62.575432
0.21,6,65.908755
0.45,9,71.223906
0.1,4,73.556775
0.15,5,76.365839
0.21,6,79.723678
0.06,3,81.773474
0.15,5,84.690213
0.1,4,86.989925
0.1,4,89.273885
0.15,5,92.18969
0.1,4,94.439395
0.28,7,98.422608
0.28,7,102.338689
0.15,5,105.23792
0.21,6,108.638734
0.21,6,112.105047
0.06,3,114.171165
0.66,11,120.339768
0.1,4,122.669858
0.28,7,126.553665
0.45,9,131.553421
0.1,4,133.837758
0.21,6,137.285427
0.1,4,139.604321
0.1,4,141.905436
0.45,9,146.819562
0.21,6,150.185899
0.15,5,153.069336
0.15,5,155.952732
0.06,3,157.935916
0.36,8,162.252665
0.28,7,166.152032
0.1,4,168.435249
0.21,6,171.785553
0.15,5,174.651926
0.1,4,177.018682
0.45,9,182.067527
0.15,5,185.167166
0.45,9,190.467322
0.21,6,193.883281
0.21,6,197.28495
0.15,5,200.138861
0.15,5,202.983121
0.1,4,205.383461
0.1,4,207.765957
0.15,5,210.69923
0.1,4,212.999284
0.15,5,215.799484
0.15,5,218.632697
0.15,5,221.532547
0.1,4,223.916364
0.21,6,227.348828
0.21,6,230.849391
1.36,16,239.348428
0.36,8,243.804731
0.78,12,250.663704
0.21,6,254.196908
0.15,5,257.412123
0.1,4,259.69686
0.15,5,262.580328
0.45,9,267.579607
0.21,6,271.029725
0.1,4,273.345984
0.1,4,275.944659
0.28,7,279.745841
0.55,10,285.346045
0.15,5,288.195633
0.21,6,291.745342
0.06,3,293.79485
0.45,9,298.860965
0.28,7,302.727616
0.21,6,306.11024
0.36,8,310.577775
0.1,4,313.228161
0.15,5,316.178117
0.1,4,318.509923
0.1,4,320.909575
0.28,7,324.893834
0.21,6,328.376762
0.15,5,331.326074
0.1,4,340.509638
0.28,7,344.509615
0.15,5,347.341639
0.15,5,350.125906
0.1,4,352.726895
0.45,9,357.991603
0.55,10,363.874914
0.28,7,368.141412
0.15,5,371.091657
0.1,4,373.457451
0.21,6,376.896401
0.15,5,379.774282
0.15,5,382.657312
0.1,4,385.139603
0.15,5,388.041465
0.21,6,391.822943
0.15,5,394.672201
0.28,7,398.474373
0.15,5,401.422716
0.06,3,403.471895
0.21,6,406.807044
0.28,7,410.821902
0.28,7,414.839524
0.06,3,416.904373
0.15,5,419.721385
0.28,7,423.671321
0.21,6,427.087924
0.06,3,429.136956
0.21,6,432.720173
0.28,7,436.737986
0.1,4,439.217519
0.1,4,441.838246
